title,description,category,is_coherent
"Waste Dumping Illegal in commercial complex","The problem of waste dumping illegal in commercial complex needs urgent cleaning","sanitation","1"
"Problem with pest infestation on hospital area","Due to pest infestation in hospital area the area has become very dirty","sanitation","1"
"Complaint about dead animal near slum","The sanitation issue of dead animal in slum is creating health problems","sanitation","1"
"Problem with public toilet dirty on school premises","The problem of public toilet dirty in school premises needs urgent cleaning","sanitation","1"
"Urgent: pest infestation on market square","The sanitation issue of pest infestation in market square is creating health problems","sanitation","1"
"Urgent: dustbin overflowing on hospital area","The sanitation issue of dustbin overflowing in hospital area is creating health problems","sanitation","1"
"Problem with debris removal on commercial complex","The problem of debris removal in commercial complex needs urgent cleaning","sanitation","1"
"Garbage Not Collected on commercial complex","The problem of garbage not collected in commercial complex needs urgent cleaning","sanitation","1"
"Urgent: dead animal on colony","The sanitation issue of dead animal in colony is creating health problems","sanitation","1"
"Debris Removal - school premises","The problem of debris removal in school premises needs urgent cleaning","sanitation","1"
"Complaint about public toilet dirty near bus stand","Due to public toilet dirty in bus stand the area has become very dirty","sanitation","1"
"Foul Smell - railway station","The sanitation issue of foul smell in railway station is creating health problems","sanitation","1"
"Dead Animal near slum","Due to dead animal in slum the area has become very dirty","sanitation","1"
"Drain Blockage on commercial complex","Due to drain blockage in commercial complex the area has become very dirty","sanitation","1"
"Problem with drain blockage on park","Health hazard created by drain blockage in park requires immediate action","sanitation","1"
"Urgent: dustbin overflowing on commercial complex","There is dustbin overflowing in commercial complex causing unhygienic conditions","sanitation","1"
"Sewage Overflow on slum","The sanitation issue of sewage overflow in slum is creating health problems","sanitation","1"
"Dustbin Overflowing in colony","The sanitation issue of dustbin overflowing in colony is creating health problems","sanitation","1"
"Garbage Not Collected at residential area","Due to garbage not collected in residential area the area has become very dirty","sanitation","1"
"Problem with dead animal on market square","There is dead animal in market square causing unhygienic conditions","sanitation","1"
"Sewage Overflow at school premises","Due to sewage overflow in school premises the area has become very dirty","sanitation","1"
"Urgent: dustbin overflowing on residential area","The problem of dustbin overflowing in residential area needs urgent cleaning","sanitation","1"
"Debris Removal near residential area","Health hazard created by debris removal in residential area requires immediate action","sanitation","1"
"Problem with garbage not collected on bus stand","The sanitation issue of garbage not collected in bus stand is creating health problems","sanitation","1"
"Complaint about sewage overflow near slum","The problem of sewage overflow in slum needs urgent cleaning","sanitation","1"
"Complaint about debris removal near bus stand","The sanitation issue of debris removal in bus stand is creating health problems","sanitation","1"
"Dustbin Overflowing at park","The problem of dustbin overflowing in park needs urgent cleaning","sanitation","1"
"Complaint about debris removal near bus stand","The problem of debris removal in bus stand needs urgent cleaning","sanitation","1"
"Complaint about foul smell near residential area","The problem of foul smell in residential area needs urgent cleaning","sanitation","1"
"Pest Infestation at park","The sanitation issue of pest infestation in park is creating health problems","sanitation","1"
"Complaint about drain blockage near slum","The sanitation issue of drain blockage in slum is creating health problems","sanitation","1"
"Waste Dumping Illegal in railway station","The problem of waste dumping illegal in railway station needs urgent cleaning","sanitation","1"
